title,start_time,end_time,description,exercise_title,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,muscle_group
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Yoga,2,normal,,,,557,Full Body
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Yoga,3,normal,,,,280,Full Body
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Plank,0,normal,,,,47,Abdominals
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Plank,1,normal,,,,44,Abdominals
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Push Up,0,normal,,10,,,Chest
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Russian Twist (Bodyweight),0,normal,,30,,,Abdominals
Morning workout ☀️,"1 Jun 2024, 19:21","1 Jun 2024, 20:21",,Russian Twist (Bodyweight),1,normal,,30,,,Abdominals
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Walking,0,normal,,,0.87,1200,Cardio
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Walking,1,normal,,,0.87,1200,Cardio
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Decline Crunch,0,normal,,8,,,Abdominals
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Decline Crunch,1,normal,,8,,,Abdominals
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Lat Pulldown (Cable),0,normal,44.09,10,,,Lats
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Lat Pulldown (Cable),1,normal,55.12,8,,,Lats
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Triceps Extension (Dumbbell),0,normal,16.53,10,,,Triceps
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Triceps Extension (Dumbbell),1,normal,16.53,10,,,Triceps
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Triceps Extension (Dumbbell),2,normal,16.53,10,,,Triceps
Evening workout 🏋️,"31 May 2024, 07:32","31 May 2024, 08:36",,Leg Press (Machine),0,normal,143.3,8,,,Quadriceps
